#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
利,禾刂 hd,禾刂 hd,禾刂 hd,禾刂hd｜刂禾dh,禾刂 xp,tj,禾刂 hd,禾丨 es,禾刂eo
理,王日 wl,𤣩里 wl,王里 wl,王里wl,王里 nd,gj,𤣩里 wl,王日 wl,王日wl
立,亠一 wa,亠䒑 wb,亠一 wa,丶一da,立 il,uu,亠一 wa,丶一 dh,亠一wh
礼,礻乚 pv,礻乚 pv,礻乛 pv,示乚ug,礻乚 fa,py,礻乛 pv,丶乛 dv,丶乛dv
粒,米立 ml,米立 ml,米立 ml,米立ml,米立 pi,ou,米立 ml,丶丶 dd,米亠jw
梨,禾木 hm,禾木 hm,禾木 hm,木利ml,禾木 xe,tj,禾木 hl,禾木 em,禾木em
历,厂力 il,厂力 il,厂力 il,厂力il,厂力 xs,dl,厂力 il,一丿 hp,一力hl
锂,钅日 jl,钅里 jl,钅里 jl,金里jl,钅里 zd,qj,钅里 jl,钅日 jl,钅日jl
丽,一丶 ad,一丶 ad,一丶 ad,一丶ad,一 fv,gm,一丶 ad,一丶 hd,一丶hd
哩,口日 kl,口里 kl,口里 kl,口里kl,口里 dd,kj,口里 kl,口日 kl,口日kl
黎,禾氺 hu,禾氺 hu,禾氺 hu,禾氺hu｜氺人ur,禾氺 xk,tq,禾氺 hu,禾氵 eu,禾氵eu
栗,覀木 xm,覀木 xm,西木 xm,木覀mx｜覀木xm,覀木 ve,ss,覀木 xl,一木 hm,西木sm
莉,艹刂 cd,艹刂 cd,艹刂 cd,艹利cl,艹刂 lp,at,艹刂 cd,艹丨 cs,艹刂co
吏,一乀 an,古乀 gn,一乀 an,一丶ad,一 fb,gk,一乀 an,一丶 hd,一丶hd
戾,户犬 hq,户犬 hq,户犬 hq,户犬hq,户犬 mm,yn,户犬 hq,丶丶 dd,丶丶dd
藜,艹氵 cu,艹氺 cu,艹氺 cu,艹黎cl,艹氺 lk,at,艹氺 cu,艹氵 cu,艹氵cu
鲤,鱼里 yl,鱼里 yl,鱼里 al,鱼里yl,鱼里 wd,qg,⺈里 el,丿日 pl,⺈日gl
厘,厂里 il,厂里 il,厂里 il,厂里il,厂里 xd,dj,厂里 il,一土 ht,一一hh
笠,竹立 vl,竹立 vl,𥫗立 vl,竹立vl,⺮立 ri,tu,𥫗立 vl,⺮一 gh,⺮一gh
犁,禾牛 hn,禾牛 hn,禾牛 hn,牛利nl,禾牛 xq,tj,禾牛 hn,禾丨 es,禾丨es
璃,王离 wl,𤣩禸 wn,王丶 wd,王离wl,王禸 nv,gy,𤣩离 wl,王丶 wd,王亠ww
狸,犭日 ql,犭里 ql,犭里 ql,犭里ql,犭里 md,qt,犭里 ql,丿日 pl,犭日ql
厉,厂万 iw,厂万 iw,厂万 iw,厂万iw,厂 xp,dd,厂万 iw,一丿 hp,一丿hp
隶,乛乀 vn,肀水 yu,乛乀 vn,乛丶ad｜乛丶vd｜乛氺vu｜肀丶yd,氺 bk,vi,乛乀 vn,乛氵 vu,乛氵vu
栎,木乐 ml,木乐 ml,木乐 ml,木乐ml｜.my,木小 ey,sq,木乐 ll,木丿 mp,木丿mp
骊,马丽 ml,马丶 md,马丽 ml,马丽ml,马 nv,cg,马丽 ml,乛一 vh,乛一vh
荔,艹力 cl,艹力 cl,艹力 cl,艹力cl,艹力 ls,al,艹力 cl,艹丿 cp,艹力cl
沥,氵历 dl,氵力 dl,氵力 dl,氵历dl,氵力 ks,id,氵力 dl,氵一 uh,氵一uh
俪,亻丽 rl,亻丶 rd,亻丽 rl,亻丽rl,亻 jv,wg,亻丽 rl,人一 rh,人一rh
励,厂力 il,厂力 il,厂力 il,厉力ll,厂力 xs,dd,厂力 il,一乛 hv,一力hl
砾,石乐 ul,石乐 ul,石乐 ul,石乐ul｜石乐uy,石小 my,dq,石乐 ul,一丿 hp,石丿bp
醴,酉豆 yd,酉䒑 yb,酉一 ya,酉豆yd｜酉豊yl,酉豆 yz,sg,酉豆 yd,一丨 hs,西丨ss
砺,石万 uw,石万 uw,石万 uw,石厉ul,石 mp,dd,石万 uw,一一 hh,石一bh
澧,氵豆 dd,氵䒑 db,氵一 da,氵豆dd｜氵豊dl,氵豆 kz,im,氵豆 dd,氵丨 us,氵丨us
詈,⺫口 sk,⺫口 sk,罒口 sk,罒言sy,罒言 ys,ly,罒口 sk,丨讠 sa,丨讠sa
痢,疒刂 bd,疒刂 bd,疒刂 bd,疒利bl,疒刂 ap,ut,疒刂 bd,丶丨 ds,疒刂zo
罹,罒隹 sv,罒{隹右} sv,罒龶 sf,罒隹sv｜罒惟sw,罒隹 yu,ln,罒惟 sw,丨一 sh,丨龶sq
莅,艹立 cl,艹立 cl,艹立 cl,艹位cw,艹立 li,aw,艹立 cl,艹一 ch,艹一ch
俚,人日 rl,亻里 rl,亻里 rl,亻里rl,亻里 jd,wj,亻里 rl,人日 rl,人日rl
喱,口厘 kl,口里 kl,口里 kl,口厘kl,口里 dd,kd,口里 kl,口一 kh,口一kh
篱,𥫗离 vl,竹禸 vn,𥫗丶 vd,𥫗离vl,⺮禸 rv,ty,𥫗离 vl,⺮丶 gd,⺮丶gd
鳢,鱼豊 yl,鱼䒑 yb,鱼一 aa,鱼豆yd｜鱼豊yl,鱼豆 wz,qg,⺈豆 ed,丿丨 ps,⺈丨gs
漓,氵离 dl,氵禸 dn,氵丶 dd,氵离dl,氵禸 kv,iy,氵离 dl,氵丶 ud,氵亠uw
浬,氵里 dl,氵里 dl,氵里 dl,氵里dl,氵里 kd,ij,氵里 dl,氵日 ul,氵日ul
轹,车乐 il,车乐 il,车乐 il,车乐il｜车乐iy,小 yy,lq,车乐 il,一丿 hp,车丿cp
俐,亻刂 rd,亻刂 rd,亻刂 rd,亻利rl,亻刂 jp,wt,亻刂 rd,人禾 re,人禾re
蓠,艹离 cl,艹禸 cn,艹丶 cd,艹离cl,艹禸 lv,ay,艹离 cl,艹丶 cd,艹丶cd
蛎,虫万 iw,虫万 iw,虫万 iw,虫厉il,虫 cp,jd,虫万 iw,虫一 oh,虫一oh
蠡,乛虫 vi,彑虫 hi,乛虫 vi,虫彖it｜虫豕iu,彑虫 bc,xe,乛虫 vi,乛虫 vo,乛虫vo
唳,口犬 kq,口犬 kq,口犬 kq,口犬kq,口犬 dm,ky,口犬 kq,口丶 kd,口丶kd
呖,口历 kl,口力 kl,口力 kl,口历kl,口力 ds,kd,口力 kl,口一 kh,口一kh
溧,氵栗 dl,氵木 dm,氵木 dm,氵栗dl,氵木 ke,is,氵木 dl,氵一 uh,氵西us
蜊,虫刂 id,虫刂 id,虫刂 id,虫利il,虫刂 cp,jt,虫刂 id,虫禾 oe,虫禾oe
鲡,鱼丽 yl,鱼丶 yd,鱼丽 al,鱼丽yl,鱼 wv,qg,⺈丽 el,丿一 ph,⺈一gh
醨,酉离 yl,酉禸 yn,酉丶 yd,酉离yl,酉禸 yv,sg,酉离 yl,一丶 hd,西亠sw
嫠,未女 wn,未女 wn,未女 wn,女未nw｜未女wn,未女 ab,fi,未女 wn,一女 hn,一女hn
凓,冫栗 dl,冫木 dm,冫木 dm,冫栗dl,冫木 we,us,冫木 dl,丶一 dh,丶西ds
枥,木历 ml,木力 ml,木力 ml,木历ml,木力 es,sd,木力 ll,木一 mh,木一mh
逦,辵丽 zl,⻌丶 zd,辶丽 zl,辵丽zl,一辶 fu,gm,辶丽 zl,一辶 hz,一辶hz
娌,女日 nl,女里 nl,女里 nl,女里nl,女里 bd,vj,女里 nl,女日 nl,女日nl
粝,米万 mw,米万 mw,米万 mw,米厉ml,米 pp,od,米万 mw,丶一 dh,米一jh
鹂,丽鸟 ln,丽鸟 ln,丽鸟 ln,鸟丽nl,一鸟 fx,gm,丽鸟 ln,一丿 hp,一鸟hn
苈,艹力 cl,艹力 cl,艹力 cl,艹历cl,艹力 ls,ad,艹力 cl,艹丿 cp,艹力cl
黧,禾黑 hh,禾灬 hh,禾黑 hh,黑ㄉhd｜禾黑hh,禾黑 xp,tq,禾灬 he,禾火 eq,禾火eq
缡,纟离 sl,纟禸 sn,纟丶 sd,纟离sl,纟禸 iv,xy,纟离 sl,纟丶 id,纟亠iw
傈,亻栗 rl,亻木 rm,亻木 rm,亻栗rl,亻木 je,ws,亻木 rl,人一 rh,人西rs
坜,土历 tl,土力 tl,土力 tl,土历tl,土力 gs,fd,土力 tl,土一 th,土一th
疬,疒历 bl,疒力 bl,疒力 bl,疒历bl,疒力 as,ud,疒力 bl,丶丿 dp,疒力zl
朸,木力 ml,木力 ml,木力 ml,木力ml,木力 es,sl,木力 ll,木乛 mv,木力ml
珕,王力 wl,𤣩力 wl,王力 wl,王力wl｜.wx,王力 ns,gl,𤣩力 wl,王乛 wv,王力wl
浰,氵刂 dd,氵刂 dd,氵刂 dd,氵利dl,氵刂 kp,it,氵刂 dd,氵禾 ue,氵禾ue
雳,雨力 yl,雨力 yl,雨力 yl,雨历yl,⻗力 ts,fd,雨力 yl,一丿 hp,雨力yl
猁,犭刂 qd,犭刂 qd,犭刂 qd,犭利ql,犭刂 mp,qt,犭刂 qd,丿禾 pe,犭禾qe
篥,竹栗 vl,竹木 vm,𥫗木 vm,竹栗vl,⺮木 re,ts,𥫗木 vl,⺮木 gm,⺮木gm
㰀,木氺 mu,木氺 mu,木氺 mu,木黎ml,木氺 ek,st,木氺 lu,木禾 me,木禾me
𫵷,山历 ul,山力 ul,山力 el,山历ul,山力 vs,md,山力 sl,,
𬍛,王乐 wl,𤣩乐 wl,王乐 wl,王乐wl,王小 ny,gq,𤣩乐 wl,,
俩,亻两 rl,亻两 rl,亻两 rl,亻两rl,亻两 jm,wg,亻两 rl,人一 rh,人一rh
连,辶车 zi,⻌车 zi,辶车 zi,辶车zi,车辶 yu,lp,辶车 zi,一辶 hz,车辶cz
练,纟丶 sd,纟𫠣 sd,纟丶 sd,纟丶sd｜纟𫠣sj,纟 iy,xa,纟丶 sd,纟一 ih,纟一ih
脸,月一 oa,⺼佥 oq,月一 oa,月一oa｜月佥oq,月一 vf,ew,月一 oa,月人 yr,月人yr
链,钅车 ji,钅车 ji,钅辶 jz,钅连jl,钅辶 zu,ql,钅车 ji,钅一 jh,钅车jc
联,耳天 et,耳天 et,耳天 et,耳关eg,耳大 qm,bu,耳大 ed,一丶 hd,一丶hd
恋,亠忄 wx,亠心 wx,亠心 wx,心亦xy｜亦心yx,亠心 zh,yo,亠心 wx,丶忄 dx,亠忄wx
莲,艹车 ci,艹车 ci,艹辶 cz,艹连cl,艹辶 lu,al,艹车 ci,艹辶 cz,艹辶cz
帘,宀巾 bj,宀巾 bj,宀巾 bj,宀巾bj｜巾穴jx,穴巾 er,pw,宀巾 gj,宀丨 bs,宀巾bj
炼,火丶 hd,火𫠣 hd,火丶 hd,火丶hd｜火𫠣hj,火 cy,oa,火丶 hd,火一 qh,火一qh
镰,钅兼 jj,钅兼 jj,钅乀 jn,钅廉jl,钅 zc,qy,钅兼 jj,钅丶 jd,钅广jx
敛,人攵 rw,佥攵 qw,人攵 rw,攵一wa｜攵佥wq,亼攵 jh,wg,人攵 rw,人丿 rp,人攵rw
怜,忄龴 xs,忄龴 xs,忄龴 xs,忄令xl,忄龴 hk,nw,忄龴 xv,忄人 xr,忄人xr
廉,广兼 gj,广兼 gj,广乀 gn,广兼gj,广 xc,yu,广兼 gj,丶丶 dd,广丶xd
涟,氵车 di,氵车 di,氵辶 dz,氵连dl,氵辶 ku,il,氵车 di,氵一 uh,氵车uc
濂,氵兼 dj,氵兼 dj,氵乀 dn,氵廉dl,氵 kc,iy,氵兼 dj,氵丶 ud,氵广ux
殓,. da,歹佥 dq,歹一 da,.da｜歹佥dq,歹一 gf,gq,歹一 da,一人 hr,一人hr
蠊,虫兼 ij,虫兼 ij,虫乀 in,虫廉il,虫 cc,jy,虫兼 ij,虫丶 od,虫广ox
琏,𤣩车 wi,𤣩车 wi,王辶 wz,王连wl,王辶 nu,gl,𤣩车 wi,王一 wh,王车wc
楝,木柬 mj,木柬 mj,木柬 mj,木柬mj,木丷 eh,sg,木柬 lj,木一 mh,木一mh
鲢,鱼连 yl,鱼车 yi,鱼辶 az,鱼连yl,鱼辶 wu,qg,⺈车 ei,丿一 ph,⺈车gc
奁,大区 dq,大区 dq,大乂 dx,大区dq,大㐅 mb,da,大乂 dx,一乛 hv,大乛lv
蔹,艹攵 cw,艹攵 cw,艹攵 cw,艹敛cl｜艹攵cw,艹攵 lh,aw,艹攵 cw,艹丶 cd,艹攵cw
裢,衤车 pi,衤车 pi,衤辶 pz,衤连yl,衤辶 tu,pu,衤车 pi,丶一 dh,丶车dc
潋,氵攵 dw,氵攵 dw,氵攵 dw,氵敛dl,氵攵 kh,iw,氵攵 dw,氵人 ur,氵人ur
梿,木连 ml,木车 mi,木辶 mz,木连ml,木辶 eu,sl,木车 li,木一 mh,木车mc
裣,衤一 pa,衤佥 pq,衤一 pa,衤一ya｜衤佥yq,衤一 tf,pu,衤一 pa,丶人 dr,丶人dr
瑓,王柬 wj,𤣩柬 wj,王柬 wj,王柬wj,王丷 nh,gg,𤣩柬 wj,王一 wh,王一wh
𬶠,鱼柬 yj,鱼柬 yj,鱼柬 aj,鱼柬yj,鱼丷 wh,qg,鱼乀 yn,,
量,日里 ol,日里 ol,日里 ol,日里ol,日里 od,jg,旦里 dl,日土 lt,日一lh
两,一丶 ad,一人 ar,一丶 ad,一丶ad,两 ml,gm,一丶 ad,一丶 hd,一丶hd
亮,亠几 wj,亠几 wj,亠几 wj,亠几wj｜几冖jb,几 go,yp,亠几 wj,丶乛 dv,亠几wj
梁,氵木 dm,氵木 dm,氵木 dm,木丶md,氵木 ke,iv,氵木 dl,氵木 um,氵木um
辆,车两 il,车两 il,车两 il,车两il,两 ym,lg,车两 il,一一 hh,车一ch
凉,冫小 dx,冫小 dx,冫小 dx,冫京dj,冫小 wy,uy,冫小 dx,丶丶 dd,丶亠dw
粮,米良 ml,米良 ml,米良 ml,米良ml,米艮 pi,oy,米[艮底] mh,丶丶 dd,米丶jd
良,丶艮 dg,丶艮 dg,丶艮 dg,丶艮dg,丶艮 ii,yv,丶[艮底] dh,丶丶 dd,丶丶dd
晾,日小 ox,日小 ox,日小 ox,日京oj,日小 oy,jy,日小 ox,日丶 ld,日亠lw
谅,讠小 yx,讠小 yx,讠小 yx,言京yj,讠小 sy,yy,讠小 yx,讠丶 ad,讠亠aw
粱,氵米 dm,氵米 dm,氵米 dm,米丶md,氵米 kp,iv,氵米 dm,氵木 um,氵米uj
椋,木小 mx,木小 mx,木小 mx,木京mj,木小 ey,sy,木小 lx,木丶 md,木亠mw
俍,亻良 rl,亻良 rl,亻良 rl,亻良rl,亻艮 ji,wy,亻[艮底] rh,人丶 rd,人丶rd
魉,鬼两 gl,鬼两 gl,鬼两 gl,鬼两gl,鬼两 am,rq,鬼两 gl,丿一 ph,丿丶pd
墚,土梁 tl,土木 tm,土木 tm,土梁tl,土木 ge,fi,土木 tl,土氵 tu,土氵tu
踉,足良 zl,𧾷良 zl,𧾷良 zl,足良zl,⻊艮 pi,kh,𧾷[艮底] zh,⻊丶 zd,⻊丶zd
辌,车小 ix,车小 ix,车小 ix,车京ij,小 yy,ly,车小 ix,一丶 hd,车亠cw
悢,心良 xl,忄良 xl,忄良 xl,心良xl,忄艮 hi,ny,忄[艮底] xh,忄丶 xd,忄丶xd
𫟅,纟小 sx,纟小 sx,纟小 sx,纟京sj,纟小 iy,xy,纟小 sx,,
𬜯,艹两 cl,艹两 cl,艹两 cl,艹两cl,艹两 lm,ag,艹丶 cd,,
聊,耳卩 ee,耳卩 ee,耳卩 ee,耳卯em,耳卯 qb,bq,耳卩 ee,一丿 hp,一丿hp
撩,扌小 fx,扌小 fx,扌小 fx,扌尞fl｜扌小fx,扌小 uy,rd,扌小 fx,扌一 fh,扌大fl
料,米斗 md,米斗 md,米十 mu,米斗md,米斗 pj,ou,米十 mu,丶丶 dd,米丶jd
辽,辶了 zl,辶了 zl,辶了 zl,辶了zl,了辶 ru,bp,辶了 zl,乛辶 vz,乛辶vz
廖,广丿 gp,广彡 gp,广丿 gp,广翏gl｜广丿gp,广彡 xe,yn,广彡 gp,丶丿 dp,广丿xp
撂,扌口 fk,扌口 fk,扌口 fk,扌各fg,扌各 us,rl,扌口 fk,扌丨 fs,扌田ft
寮,宀小 bx,宀小 bx,宀小 bx,宀尞bl｜宀小bx,宀小 wy,pd,宀小 gx,宀丶 bd,宀小bx
疗,疒了 bl,疒了 bl,疒了 bl,疒了bl,疒了 ar,ub,疒了 bl,丶丨 ds,疒丨zs
瞭,目小 ox,目小 ox,目小 ox,目尞ol｜目小ox,目小 qy,hd,目小 mx,丨一 sh,目大ll
钌,钅了 jl,钅了 jl,钅了 jl,钅了jl,钅了 zr,qb,钅了 jl,钅乛 jv,钅乛jv
燎,火小 hx,火小 hx,火小 hx,火尞hl｜火小hx,火小 cy,od,火小 hx,火一 qh,火大ql
獠,犭小 qx,犭小 qx,犭小 qx,犭尞ql｜犭小qx,犭小 my,qt,犭小 qx,丿一 ph,犭大ql
僚,亻小 rx,亻小 rx,亻小 rx,亻尞rl｜亻小rx,亻小 jy,wd,亻小 rx,人一 rh,人大rl
憭,忄小 xx,忄小 xx,忄小 xx,忄尞xl｜忄小xx,忄小 hy,nd,忄小 xx,忄一 xh,忄大xl
髎,骨彡 gp,冎彡 gp,骨丿 gp,骨翏gl｜骨彡gp,骨彡 fe,me,骨彡 gp,丨乛 sv,丨乛sv
寥,宀丿 bp,宀彡 bp,宀丿 bp,宀翏bl｜宀彡bp,宀彡 we,pn,宀彡 gp,宀丿 bp,宀丿bp
嘹,口小 kx,口小 kx,口小 kx,口尞kl｜口小kx,口小 dy,kd,口小 kx,口一 kh,口大kl
橑,木小 mx,木小 mx,木小 mx,.ml｜木小mx,木小 ey,sd,木小 lx,木一 mh,木大ml
嫽,女小 nx,女小 nx,女小 nx,女尞nl｜女小nx,女小 by,vd,女小 nx,女一 nh,女大nl
缭,纟小 sx,纟小 sx,纟小 sx,纟尞sl｜纟小sx,纟小 iy,xd,纟小 sx,纟一 ih,纟大il
镣,釒小 jx,钅小 jx,钅小 jx,釒尞jl｜釒小jx,钅小 zy,qd,钅小 jx,钅一 jh,钅大jl
尥,尤勺 yu,尢勺 yu,尢勺 yu,尤勺yu,尢丶 oi,dn,一勺 au,一丶 hd,一丶hd
蹽,足小 zx,𧾷小 zx,𧾷小 zx,足尞zl｜足小zx,⻊小 py,kh,𧾷小 zx,⻊一 zh,⻊大zl
鹩,大鸟 dn,大鸟 dn,大鸟 dn,鸟尞nl｜鸟小nx,大鸟 mx,du,一鸟 an,一丿 hp,大鸟ln
簝,竹小 vx,竹小 vx,𥫗小 vx,.vl｜竹小vx,⺮小 ry,td,𥫗小 vx,⺮丶 gd,⺮小gx
𪤗,土彡 tp,土彡 tp,土丿 tp,.tl,土彡 ge,fn,土彡 tp,,
列,歹刂 dd,歹刂 dd,歹刂 dd,歹刂dd,歹刂 gp,gq,歹刂 dd,一丨 hs,一刂ho
咧,口刂 kd,口刂 kd,口刂 kd,口列kl,口刂 dp,kg,口刂 kd,口一 kh,口一kh
猎,犭日 qo,犭日 qo,犭日 qo,犭昔qx,犭日 mo,qt,犭日 qo,丿艹 pc,犭艹qc
烈,歹灬 dh,歹灬 dh,歹灬 dh,灬列hl,歹灬 gc,gq,歹灬 de,一火 hq,一火hq
裂,歹衣 dy,歹衣 dy,歹𧘇 dy,衣列yl,歹衣 gt,gq,歹𧘇 dh,一丶 hd,一丶hd
劣,少力 ul,少力 ul,少力 ul,力少lu,𡭔力 ys,it,少力 ul,丨丿 sp,小力xl
鬣,髟鼠 iu,E{鼠下} ev,一乛 av,髟巤il｜髟鼠iu,镸 pp,de,长乛 iv,一乛 hv,一乛hv
洌,氵刂 dd,氵刂 dd,氵刂 dd,氵列dl,氵刂 kp,ig,氵刂 dd,氵一 uh,氵一uh
冽,冫刂 dd,冫刂 dd,冫刂 dd,冫列dl,冫刂 wp,ug,冫刂 dd,丶一 dh,丶一dh
埒,土寸 tc,土寸 tc,土寸 tc,土寸tc｜土寽tl,土寸 gk,fe,土寸 tc,土丿 tp,土丿tp
躐,⻊乛 zv,𧾷{鼠下} zv,𧾷乛 zv,足巤zl｜足{鼠}zu,⻊ pp,kh,𧾷乛 zv,⻊乛 zv,⻊乛zv
捩,扌犬 fq,扌犬 fq,扌犬 fq,扌戾fl｜扌犬fq,扌犬 um,ry,扌犬 fq,扌丶 fd,扌丶fd
趔,土刂 td,土刂 td,土刂 td,走列zl,走刂 pp,fh,土刂 td,土丨 ts,土刂to
脟,月寸 oc,⺼寸 oc,月寸 oc,月寸oc｜月寽ol,月寸 vk,ee,月寸 oc,月丿 yp,月丿yp
䴕,歹鸟 dn,歹鸟 dn,歹鸟 dn,鸟列nl,歹鸟 gx,gq,歹鸟 dn,一一 hh,一鸟hn
𫚭,. yl,鱼{鼠下} yv,鱼乛 av,.yl,鱼 wp,qg,鱼乛 yv,,
林,木木 mm,木木 mm,木木 mm,木木mm,木木 ee,ss,木木 ll,木木 mm,木木mm
拎,扌龴 fs,扌龴 fs,扌龴 fs,扌令fl,扌龴 uk,rw,扌龴 fv,扌人 fr,扌人fr
临,刂{日} do,〢𫩏 lk,丨一 la,丨{日}ao｜刂{日}do,〢 po,jt,丨一 aa,丨丿 sp,丨丿sp
磷,石粦 ul,石㐄 uf,石丨 ul,石粦ul,石㐄 mv,do,石丨 ua,一丶 hd,石米bj
琳,王林 wl,𤣩木 wm,王木 wm,王林wl,王木 ne,gs,𤣩木 wl,王木 wm,王木wm
凛,冫示 du,冫示 du,冫小 dx,冫禀db｜冫示du,冫示 wf,uy,冫小 dx,丶丶 dd,丶亠dw
淋,氵林 dl,氵木 dm,氵木 dm,氵林dl,氵木 ke,is,氵木 dl,氵木 um,氵木um
霖,雨林 yl,雨木 ym,雨木 ym,雨林yl,⻗木 te,fs,雨木 yl,一木 hm,雨木ym
鳞,鱼粦 yl,鱼㐄 yf,鱼丨 al,鱼粦yl,鱼㐄 wv,qg,⺈丨 ea,丿丶 pd,⺈米gj
邻,人阝 re,𠆢⻏ re,人阝 re,耳令el,亽阝 jt,wy,人⻏ re,人乛 rv,人阝re
麟,鹿粦 ll,鹿㐄 lf,广丨 gl,鹿粦ll,鹿㐄 xv,yn,广丨 ga,丶丶 dd,广米xj
璘,王粦 wl,𤣩㐄 wf,王丨 wl,王粦wl,王㐄 nv,go,𤣩丨 wa,王丶 wd,王米wj
廪,. gu,广示 gu,广小 gx,广禀gb｜.gu,广示 xf,yy,广小 gx,丶丶 dd,广小xx
赁,人人 rr,亻贝 rb,亻人 rr,贝任br,亻贝 jo,wt,亻人 rr,人人 rr,人贝rb
蔺,艹隹 cv,艹{隹右} cv,艹龶 cf,艹隹cv,艹隹 lu,au,艹一 ca,艹一 ch,艹龶cq
吝,亠口 wk,文口 wk,文口 wk,口文kw｜文口wk,文口 vd,yk,文口 wk,丶口 dk,亠口wk
檩,木示 mu,木示 mu,木小 mx,木禀mb｜木示mu,木示 ef,sy,木小 lx,木丶 md,木亠mw
懔,. xu,忄示 xu,忄小 xx,心禀xb｜.xu,忄示 hf,ny,忄小 xx,忄丶 xd,忄亠xw
膦,月粦 ol,⺼㐄 of,月丨 ol,月粦ol,月㐄 vv,eo,月丨 oa,月丶 yd,月米yj
潾,氵粦 dl,氵㐄 df,氵丨 dl,氵粦dl,氵㐄 kv,io,氵丨 da,氵丶 ud,氵米uj
粼,米巜 mv,米巜 mv,米乛 mv,米刂md｜刂粦dl,米巜 po,oq,米乛 mv,丶乛 dv,米乛jv
嶙,山粦 ul,山㐄 uf,山丨 el,山粦ul,山㐄 vv,mo,山丨 sa,丨丶 sd,山米gj
躏,足蔺 zl,𧾷{隹右} zv,𧾷龶 zf,足蔺zl｜足隹zv,⻊隹 pu,kh,𧾷蔺 zl,⻊艹 zc,⻊艹zc
遴,辶粦 zl,辶㐄 zf,辶丨 zl,辶粦zl,米辶 pu,oq,辶丨 za,丶辶 dz,米辶jz
辚,. il,车㐄 if,车丨 il,.il,㐄 yv,lo,车丨 ia,一丶 hd,车米cj
箖,竹林 vl,竹木 vm,𥫗木 vm,竹林vl,⺮木 re,ts,𥫗木 vl,⺮木 gm,⺮木gm
瞵,目粦 ol,目㐄 of,目丨 ol,目粦ol,目㐄 qv,ho,目丨 ma,丨丶 sd,目米lj
翷,米习 mx,米习 mx,米习 mx,.yl,米羽 pz,oq,米习 mx,丶乛 dv,米乛jv
𬭸,. jl,钅㐄 jf,钅丨 jl,.jl｜金舛ji,钅㐄 zv,qo,钅丨 ja,,
𬴊,. ml,马㐄 mf,马丨 ml,.ml｜马舛mi,马㐄 nv,co,马丨 ma,,
另,口力 kl,口力 kl,口力 kl,口力kl,口力 ds,kl,口力 kl,口丿 kp,口力kl
令,人厶 rs,𠆢龴 rs,人龴 rs,人厶rs,亽龴 jk,wy,人龴 rv,人丶 rd,人丶rd
零,雨龴 ys,雨龴 ys,雨龴 ys,雨令yl,⻗龴 tk,fw,雨龴 yv,一丶 hd,雨丶yd
领,人人 rr,𠆢页 ry,人人 rr,页令yl,亽页 jw,wy,人人 rr,人一 rh,人一rh
铃,钅龴 js,钅龴 js,钅龴 js,钅令jl,钅龴 zk,qw,钅龴 jv,钅人 jr,钅人jr
灵,彐火 eh,彐火 eh,彐火 eh,火𫜹hx｜𫜹火xh,彐火 bc,vo,乛火 vh,乛火 vq,彐火xq
玲,𤣩龴 ws,𤣩龴 ws,王龴 ws,王令wl,王龴 nk,gw,𤣩龴 wv,王人 wr,王人wr
岭,山令 ul,山龴 us,山龴 es,山令ul,山龴 vk,mw,山龴 sv,丨人 sr,山人gr
陵,阝夂 ew,⻖夂 ew,阝夂 ew,阝夌el｜阝夂ew,阝夊 th,bf,阝夂 ew,乛土 vt,阝土et
凌,冫夂 dw,冫夂 dw,冫夂 dw,冫夌dl｜冫夂dw,冫夊 wh,uf,冫夂 dw,丶土 dt,丶土dt
龄,止龴 vs,止龴 vs,止龴 vs,齿令il,齿龴 lk,hw,止龴 vv,丨人 sr,丨人sr
绫,纟夂 sw,纟夂 sw,纟夂 sw,纟夌sl｜纟夂sw,纟夊 ih,xf,纟夂 sw,纟土 it,纟土it
翎,𠆢习 rx,𠆢习 rx,人习 rx,羽令yl,亽羽 jz,wy,人习 rx,人乛 rv,人乛rv
聆,耳龴 es,耳龴 es,耳龴 es,耳令el,耳龴 qk,bw,耳龴 ev,一人 hr,一人hr
泠,氵龴 ds,氵龴 ds,氵龴 ds,氵令dl,氵龴 kk,iw,氵龴 dv,氵人 ur,氵人ur
澪,氵龴 ds,氵龴 ds,氵龴 ds,氵零dl,氵龴 kk,if,氵龴 dv,氵一 uh,氵雨uy
伶,亻龴 rs,亻龴 rs,亻龴 rs,亻令rl,亻龴 jk,ww,亻龴 rv,人人 rr,人人rr
蛉,虫龴 is,虫龴 is,虫龴 is,虫令il,虫龴 ck,jw,虫龴 iv,虫人 or,虫人or
菱,艹攵 cw,艹夂 cw,艹夂 cw,艹夌cl｜艹夂cw,艹夊 lh,af,艹夂 cw,艹丶 cd,艹攵cw
苓,艹龴 cs,艹龴 cs,艹龴 cs,艹令cl,艹龴 lk,aw,艹龴 cv,艹丶 cd,艹丶cd
姈,女龴 ns,女龴 ns,女龴 ns,女令nl,女龴 bk,vw,女龴 nv,女人 nr,女人nr
羚,羊龴 ys,羊龴 ys,⺶龴 ys,羊令yl,⺶龴 gk,ud,丷龴 ev,丶人 dr,丶人dr
呤,口龴 ks,口龴 ks,口龴 ks,口令kl,口龴 dk,kw,口龴 kv,口人 kr,口人kr
